feature,label,importance
dow,day of week,0.06751126
sector_ret_5d,sector 1-week,0.062928736
sector_ret_1d,sector 1-day,0.056298763
dist_low_20,above 20-day low,0.042946186
dist_sma10,vs 10-day avg,0.042923953
bb_position,Bollinger position,0.039778493
ret_3d,3-day momentum,0.0358429
dist_high_20,below 20-day high,0.03509601
close_in_range,close strength,0.034745544
dist_sma20,vs 20-day avg,0.03453382
atr_pct,volatility (ATR),0.0343708
ret_5d,1-week momentum,0.03299037
hl_range_pct,daily range,0.032339633
rsi_7,"RSI (7, fast)",0.031918712
sma20_slope,20-day trend slope,0.029304061
ret_1d,1-day momentum,0.028603647
macd_hist_slope,MACD momentum,0.027950348
bb_width,Bollinger width,0.027660942
rsi_14,RSI (14),0.027020734
ret_std_10,10-day choppiness,0.02687184
vol_zscore,volume z-score,0.026089394
macd_hist,MACD histogram,0.026006129
dist_sma50,vs 50-day avg,0.02582211
gap_pct,overnight gap,0.02573865
ret_10d,2-week momentum,0.0257031
ret_20d,1-month momentum,0.025534207
ret_std_20,20-day choppiness,0.025010409
up_days_10,up-days in 10,0.024208238
vol_ratio,volume surge,0.022828309
rel_strength_5d,relative strength,0.021422692
